8630011528#,1,8630011528,1,0,112.664926,38.047284
8630351722#,1,8630351722,1,0,112.467925,38.036666
8610164607#,1,8610164607,1,0,112.469088,38.036191
8630702475#,1,8630702475,1,0,112.532795,38.036659
8630007875#,1,8630007875,1,0,112.533423,38.036551
8630504677#,1,8630504677,1,0,112.668523,38.038865
8630064036#,1,8630064036,1,0,112.532633,38.03369
8630500969#,1,8630500969,1,0,112.531266,38.032573
0226608973#,1,226608973,1,0,112.649781,38.038761
8630749870#,1,8630749870,1,0,112.459152,38.037488
8630701583#,1,8630701583,1,0,112.567809,38.03276
8630794190#,1,8630794190,1,0,112.469751,38.033632
8630749573#,1,8630749573,1,0,112.465095,38.03279
8630506831#,1,8630506831,1,0,112.467009,38.033868
8630354028#,1,8630354028,1,0,112.46904,38.033215
8610168203#,1,8610168203,1,0,112.48028,38.03235
8630496333#,1,8630496333,1,0,112.569101,38.032455
8630255765#,1,8630255765,1,0,112.466429,38.032631
8630483995#,1,8630483995,1,0,112.465959,38.031896
8630704526#,1,8630704526,1,0,112.520158,38.028466
8630027672#,1,8630027672,1,0,112.520414,38.028414
8630225021#,1,8630225021,1,0,112.542506,38.027509
8630431704#,1,8630431704,1,0,112.47251,38.030869
8630590361#,1,8630590361,1,0,112.481319,38.028111
8630063174#,1,8630063174,1,0,112.483169,38.027397
8630777790#,1,8630777790,1,0,112.468982,38.031256
8630704393#,1,8630704393,1,0,112.484338,38.02788
8630434443#,1,8630434443,1,0,112.533725,38.024964
8630487967#,1,8630487967,1,0,112.482716,38.02616
8630746171#,1,8630746171,1,0,112.482491,38.025728
8630003178#,1,8630003178,1,0,112.482492,38.025668
8630703761#,1,8630703761,1,0,112.686306,38.025351
8630068859#,1,8630068859,1,0,112.483733,38.024699
8630741616#,1,8630741616,1,0,112.483618,38.024323
8630493311#,1,8630493311,1,0,112.626697,38.021111
8630068441#,1,8630068441,1,0,112.45012,38.024344
8630862006#,1,8630862006,1,0,112.448904,38.018614
8630197516#,1,8630197516,1,0,112.480897,38.023666
8630249346#,1,8630249346,1,0,112.456088,38.019285
0100326239#,1,100326239,1,0,112.48166,38.0231
8630430179#,1,8630430179,1,0,112.483865,38.023308
8630807859#,1,8630807859,1,0,112.488543,38.021073
8630774782#,1,8630774782,1,0,112.448281,38.017999
0106659508#,1,106659508,1,0,112.447925,38.017777
8630591472#,1,8630591472,1,0,112.456253,38.016974
8630490063#,1,8630490063,1,0,112.485464,38.020841
8630595880#,1,8630595880,1,0,112.445267,38.017305
8630063777#,1,8630063777,1,0,112.444327,38.017002
8630491431#,1,8630491431,1,0,112.484924,38.021222
8630221114#,1,8630221114,1,0,112.445619,38.015851
8630223762#,1,8630223762,1,0,112.486943,38.019312
8630438598#,1,8630438598,1,0,112.607918,38.019018
8630507966#,1,8630507966,1,0,112.443446,38.015849
8630747021#,1,8630747021,1,0,112.505613,38.019965
8630031785#,1,8630031785,1,0,112.508004,38.018439
8630709778#,1,8630709778,1,0,112.464146,38.015613
8630223239#,1,8630223239,1,0,112.493877,38.017119
8630294758#,1,8630294758,1,0,112.44889,38.015257
8630149729#,1,8630149729,1,0,112.494042,38.017107
8630504250#,1,8630504250,1,0,112.493925,38.01708
8630117227#,1,8630117227,1,0,112.456776,38.015087
8630777412#,1,8630777412,1,0,112.456935,38.01493
8630503050#,1,8630503050,1,0,112.631393,38.015193
8631076928#,1,8631076928,1,0,112.457037,38.014762
8630008911#,1,8630008911,1,0,112.443366,38.015826
8630789977#,1,8630789977,1,0,112.442027,38.015928
8630592613#,1,8630592613,1,0,112.456714,38.014509
8630073259#,1,8630073259,1,0,112.445246,38.013677
8630494952#,1,8630494952,1,0,112.453289,38.013003
8630439641#,1,8630439641,1,0,112.452715,38.012743
8630505925#,1,8630505925,1,0,112.452656,38.012718
8630156503#,1,8630156503,1,0,112.460236,38.012948
8630257560#,1,8630257560,1,0,112.455988,38.014057
8630061677#,1,8630061677,1,0,112.453815,38.013262
8630574116#,1,8630574116,1,0,112.487495,38.015239
8630060193#,1,8630060193,1,0,112.441587,38.014093
8630591771#,1,8630591771,1,0,112.44479,38.013674
8630747848#,1,8630747848,1,0,112.442484,38.013174
8630349095#,1,8630349095,1,0,112.487483,38.014695
8630481326#,1,8630481326,1,0,112.485656,38.01395
8630492277#,1,8630492277,1,0,112.49374,38.014437
8630223631#,1,8630223631,1,0,112.532049,38.014908
8630592470#,1,8630592470,1,0,112.494691,38.014391
8630444900#,1,8630444900,1,0,112.448205,38.012572
8630723180#,1,8630723180,1,0,112.452846,38.012306
8630027084#,1,8630027084,1,0,112.44966,38.010932
8630498814#,1,8630498814,1,0,112.453713,38.012764
8630118122#,1,8630118122,1,0,112.479329,38.013152
8630488723#,1,8630488723,1,0,112.479992,38.013232
8630006917#,1,8630006917,1,0,112.476526,38.009982
8630776323#,1,8630776323,1,0,112.453807,38.012544
8630294784#,1,8630294784,1,0,112.441907,38.01235
8630850000#,1,8630850000,1,0,112.440559,38.011705
8630704094#,1,8630704094,1,0,112.441001,38.011326
8630749771#,1,8630749771,1,0,112.442911,38.011049
8630430316#,1,8630430316,1,0,112.445168,38.012302
8630713368#,1,8630713368,1,0,112.459751,38.010124
8630010420#,1,8630010420,1,0,112.494397,38.012625
8630063241#,1,8630063241,1,0,112.490299,38.011973
8630027015#,1,8630027015,1,0,112.483955,38.010091
8631052334#,1,8631052334,1,0,112.456727,38.011905
8630591599#,1,8630591599,1,0,112.442974,38.011014
8630432373#,1,8630432373,1,0,112.478766,38.010574
8630366130#,1,8630366130,1,0,112.474691,38.007404
8610168196#,1,8610168196,1,0,112.551957,38.008793
8630723043#,1,8630723043,1,0,112.452948,38.01108
8630350849#,1,8630350849,1,0,112.442802,38.0109
8630449932#,1,8630449932,1,0,112.463939,38.007409
8630777354#,1,8630777354,1,0,112.463995,38.007382
8630050788#,1,8630050788,1,0,112.46699,38.007367
8630830644#,1,8630830644,1,0,112.4902,38.010065
8630003740#,1,8630003740,1,0,112.438638,38.008117
0106805492#,1,106805492,1,0,112.442356,38.009437
8630116947#,1,8630116947,1,0,112.451976,38.010389
8610141450#,1,8610141450,1,0,112.457172,38.010652
8630025529#,1,8630025529,1,0,112.484184,38.009672
8631058070#,1,8631058070,1,0,112.514741,38.008598
0100113999#,1,100113999,1,0,112.518878,38.007042
8630794187#,1,8630794187,1,0,112.534218,38.005564
8630499731#,1,8630499731,1,0,112.45147,38.010077
8610146719#,1,8610146719,1,0,112.448184,38.009313
8630431613#,1,8630431613,1,0,112.443122,38.009451
8630794951#,1,8630794951,1,0,112.443137,38.008756
8630718878#,1,8630718878,1,0,112.443184,38.008773
0106531469#,1,106531469,1,0,112.445006,38.009115
8630065793#,1,8630065793,1,0,112.448488,38.008684
8630746138#,1,8630746138,1,0,112.451126,38.009667
8610142564#,1,8610142564,1,0,112.454336,38.010347
8630436632#,1,8630436632,1,0,112.43917,38.007334
8630709404#,1,8630709404,1,0,112.439631,38.007551
8630830153#,1,8630830153,1,0,112.438547,38.006554
