['8630011528#', '112.664949', '38.04727']
['8630351722#', '112.467875', '38.036856']
['8610164607#', '112.468932', '38.03617']
['8630702475#', '112.532798', '38.036671']
['8630007875#', '112.533402', '38.036561']
['8630064036#', '112.532632', '38.03369']
['0226608973#', '112.649781', '38.038761']
['8630504677#', '112.668523', '38.038865']
['8630749870#', '112.459152', '38.037488']
['8630500969#', '112.531266', '38.032573']
['8630701583#', '112.567733', '38.032797']
['8630749573#', '112.465092', '38.032784']
['8630496333#', '112.569101', '38.032452']
['8630794190#', '112.469751', '38.033632']
['8630506831#', '112.467011', '38.03387']
['8610168203#', '112.48028', '38.03235']
['8630255765#', '112.466429', '38.032631']
['8630483995#', '112.46596', '38.031895']
['8630354028#', '112.469039', '38.033211']
['8630704526#', '112.520109', '38.028469']
['8630027672#', '112.52043', '38.028431']
['8630225021#', '112.542506', '38.027509']
['8630431704#', '112.472431', '38.030787']
['8630590361#', '112.481319', '38.028108']
['8630063174#', '112.483141', '38.027364']
['8630777790#', '112.468982', '38.031256']
['8630704393#', '112.484309', '38.027805']
['8630434443#', '112.53373', '38.024969']
['8630487967#', '112.482716', '38.026164']
['8630746171#', '112.482491', '38.025728']
['8630003178#', '112.482491', '38.025666']
['8630703761#', '112.686306', '38.025351']
['8630068859#', '112.483712', '38.024683']
['8630741616#', '112.483636', '38.024328']
['8630068441#', '112.450183', '38.024289']
['8630862006#', '112.448905', '38.018614']
['8630249346#', '112.456088', '38.019285']
['8630197516#', '112.480897', '38.023666']
['8630493311#', '112.626702', '38.020987']
['8630430179#', '112.483865', '38.023308']
['0100326239#', '112.48166', '38.0231']
['8630807859#', '112.488543', '38.021073']
['8630591472#', '112.456255', '38.016971']
['8630774782#', '112.448256', '38.017846']
['0106659508#', '112.447927', '38.017786']
['8630595880#', '112.445249', '38.017253']
['8630221114#', '112.445621', '38.015852']
['8630491431#', '112.484924', '38.021222']
['8630490063#', '112.484865', '38.020944']
['8630508160#', '112.444212', '38.01717']
['8630063777#', '112.444327', '38.017002']
['8630747021#', '112.505613', '38.019965']
['8630031785#', '112.508004', '38.018439']
['8630223762#', '112.486943', '38.019312']
['8630438598#', '112.607918', '38.019018']
['8630223239#', '112.493931', '38.017128']
['8630149729#', '112.494042', '38.017113']
['8630504250#', '112.493925', '38.01708']
['8630709778#', '112.464146', '38.015613']
['8630156503#', '112.460272', '38.012955']
['8630117227#', '112.456777', '38.01513']
['8630777412#', '112.456935', '38.01493']
['8631076928#', '112.457077', '38.014652']
['8630592613#', '112.456714', '38.014509']
['8630257560#', '112.456042', '38.014103']
['8630503050#', '112.631393', '38.015193']
['8630507966#', '112.443419', '38.015847']
['8630008911#', '112.443456', '38.01578']
['8630789977#', '112.442053', '38.015856']
['8630294758#', '112.448769', '38.01533']
['8630073259#', '112.445246', '38.013677']
['8630060193#', '112.441587', '38.014093']
