['8630011528#', '112.664926', '38.047284']
['8630351722#', '112.467925', '38.036666']
['8610164607#', '112.469088', '38.036191']
['8630702475#', '112.532795', '38.036659']
['8630007875#', '112.533423', '38.036551']
['8630504677#', '112.668523', '38.038865']
['8630064036#', '112.532633', '38.03369']
['8630500969#', '112.531266', '38.032573']
['0226608973#', '112.649781', '38.038761']
['8630749870#', '112.459152', '38.037488']
['8630701583#', '112.567809', '38.03276']
['8630794190#', '112.469751', '38.033632']
['8630749573#', '112.465095', '38.03279']
['8630506831#', '112.467009', '38.033868']
['8630354028#', '112.46904', '38.033215']
['8610168203#', '112.48028', '38.03235']
['8630496333#', '112.569101', '38.032455']
['8630255765#', '112.466429', '38.032631']
['8630483995#', '112.465959', '38.031896']
['8630704526#', '112.520158', '38.028466']
['8630027672#', '112.520414', '38.028414']
['8630225021#', '112.542506', '38.027509']
['8630431704#', '112.47251', '38.030869']
['8630590361#', '112.481319', '38.028111']
['8630063174#', '112.483169', '38.027397']
['8630777790#', '112.468982', '38.031256']
['8630704393#', '112.484338', '38.02788']
['8630434443#', '112.533725', '38.024964']
['8630487967#', '112.482716', '38.02616']
['8630746171#', '112.482491', '38.025728']
['8630003178#', '112.482492', '38.025668']
['8630703761#', '112.686306', '38.025351']
['8630068859#', '112.483733', '38.024699']
['8630741616#', '112.483618', '38.024323']
['8630493311#', '112.626697', '38.021111']
['8630068441#', '112.45012', '38.024344']
['8630862006#', '112.448904', '38.018614']
['8630197516#', '112.480897', '38.023666']
['8630249346#', '112.456088', '38.019285']
['0100326239#', '112.48166', '38.0231']
['8630430179#', '112.483865', '38.023308']
['8630807859#', '112.488543', '38.021073']
['8630774782#', '112.448281', '38.017999']
['0106659508#', '112.447925', '38.017777']
['8630591472#', '112.456253', '38.016974']
['8630490063#', '112.485464', '38.020841']
['8630595880#', '112.445267', '38.017305']
['8630063777#', '112.444327', '38.017002']
['8630491431#', '112.484924', '38.021222']
['8630221114#', '112.445619', '38.015851']
['8630223762#', '112.486943', '38.019312']
['8630438598#', '112.607918', '38.019018']
['8630507966#', '112.443446', '38.015849']
['8630747021#', '112.505613', '38.019965']
['8630031785#', '112.508004', '38.018439']
['8630709778#', '112.464146', '38.015613']
['8630223239#', '112.493877', '38.017119']
['8630294758#', '112.44889', '38.015257']
['8630149729#', '112.494042', '38.017107']
['8630504250#', '112.493925', '38.01708']
['8630117227#', '112.456776', '38.015087']
['8630777412#', '112.456935', '38.01493']
['8630503050#', '112.631393', '38.015193']
['8631076928#', '112.457037', '38.014762']
['8630008911#', '112.443366', '38.015826']
['8630789977#', '112.442027', '38.015928']
['8630592613#', '112.456714', '38.014509']
['8630073259#', '112.445246', '38.013677']
['8630494952#', '112.453289', '38.013003']
['8630439641#', '112.452715', '38.012743']
['8630505925#', '112.452656', '38.012718']
['8630156503#', '112.460236', '38.012948']
['8630257560#', '112.455988', '38.014057']
['8630061677#', '112.453815', '38.013262']
['8630574116#', '112.487495', '38.015239']
['8630060193#', '112.441587', '38.014093']
['8630591771#', '112.44479', '38.013674']
['8630747848#', '112.442484', '38.013174']
['8630349095#', '112.487483', '38.014695']
['8630481326#', '112.485656', '38.01395']
['8630492277#', '112.49374', '38.014437']
['8630223631#', '112.532049', '38.014908']
['8630592470#', '112.494691', '38.014391']
['8630444900#', '112.448205', '38.012572']
['8630723180#', '112.452846', '38.012306']
['8630027084#', '112.44966', '38.010932']
['8630498814#', '112.453713', '38.012764']
['8630118122#', '112.479329', '38.013152']
['8630488723#', '112.479992', '38.013232']
['8630006917#', '112.476526', '38.009982']
['8630776323#', '112.453807', '38.012544']
['8630294784#', '112.441907', '38.01235']
['8630850000#', '112.440559', '38.011705']
['8630704094#', '112.441001', '38.011326']
['8630749771#', '112.442911', '38.011049']
['8630430316#', '112.445168', '38.012302']
['8630713368#', '112.459751', '38.010124']
['8630010420#', '112.494397', '38.012625']
['8630063241#', '112.490299', '38.011973']
['8630027015#', '112.483955', '38.010091']
['8631052334#', '112.456727', '38.011905']
['8630591599#', '112.442974', '38.011014']
['8630432373#', '112.478766', '38.010574']
['8630366130#', '112.474691', '38.007404']
['8610168196#', '112.551957', '38.008793']
['8630723043#', '112.452948', '38.01108']
['8630350849#', '112.442802', '38.0109']
['8630449932#', '112.463939', '38.007409']
['8630777354#', '112.463995', '38.007382']
['8630050788#', '112.46699', '38.007367']
['8630830644#', '112.4902', '38.010065']
['8630003740#', '112.438638', '38.008117']
['0106805492#', '112.442356', '38.009437']
['8630116947#', '112.451976', '38.010389']
['8610141450#', '112.457172', '38.010652']
['8630025529#', '112.484184', '38.009672']
['8631058070#', '112.514741', '38.008598']
['0100113999#', '112.518878', '38.007042']
