['8630011528#', '112.664955', '38.047176']
['8630351722#', '112.467937', '38.036735']
['8630702475#', '112.532815', '38.036666']
['8630007875#', '112.533391', '38.03668']
['8610164607#', '112.469038', '38.036208']
['8630064036#', '112.532629', '38.033689']
['8630500969#', '112.531178', '38.032591']
['0226608973#', '112.649682', '38.038696']
['8630504677#', '112.668523', '38.038865']
['8630749870#', '112.459152', '38.037488']
['8630701583#', '112.567974', '38.032853']
['8630749573#', '112.465096', '38.032788']
['8630506831#', '112.467013', '38.033873']
['8630255765#', '112.466418', '38.032628']
['8630794190#', '112.469746', '38.033639']
['8630496333#', '112.5691', '38.032454']
['8610168203#', '112.480279', '38.032352']
['8630483995#', '112.465963', '38.0319']
['8630354028#', '112.46904', '38.03321']
['8630431704#', '112.472519', '38.030884']
['8630027672#', '112.520486', '38.028554']
['8630704526#', '112.520126', '38.028459']
['8630225021#', '112.542504', '38.027506']
['8630590361#', '112.481308', '38.028098']
['8630777790#', '112.469004', '38.031264']
['8630063174#', '112.483148', '38.027356']
['8630704393#', '112.484367', '38.02807']
['8630487967#', '112.482717', '38.02616']
['8630434443#', '112.533725', '38.024959']
['8630746171#', '112.482475', '38.025698']
['8630703761#', '112.686306', '38.025351']
['8630003178#', '112.482492', '38.025666']
['8630068859#', '112.483565', '38.024787']
['8630741616#', '112.483622', '38.024329']
['8630197516#', '112.48087', '38.023692']
['8630068441#', '112.45006', '38.024367']
['8630862006#', '112.4489', '38.01861']
['8630493311#', '112.62675', '38.021151']
['8630249346#', '112.456086', '38.019285']
['0100326239#', '112.48166', '38.0231']
['8630430179#', '112.4839', '38.023188']
['8630807859#', '112.48862', '38.021152']
['8630490063#', '112.486388', '38.02109']
['8630774782#', '112.44833', '38.017807']
['0106659508#', '112.447922', '38.01778']
['8630747848#', '112.450809', '38.015947']
['8630595880#', '112.445209', '38.017407']
['8630221114#', '112.445625', '38.015853']
['8630294758#', '112.448407', '38.01547']
['8630591472#', '112.456253', '38.016975']
['8630491431#', '112.484837', '38.021043']
['8630223762#', '112.486849', '38.019328']
['8630063777#', '112.444336', '38.017']
['8630747021#', '112.505572', '38.019995']
['8630031785#', '112.508004', '38.018439']
['8630438598#', '112.607919', '38.019018']
['8630709778#', '112.464147', '38.015631']
['8630149729#', '112.49404', '38.017104']
['8630223239#', '112.494079', '38.017099']
['8630117227#', '112.456798', '38.015067']
['8631076928#', '112.456985', '38.014666']
['8630504250#', '112.493982', '38.017043']
['8630503050#', '112.631393', '38.015193']
['8630592613#', '112.456673', '38.014523']
['8630704094#', '112.449892', '38.015398']
['8630789977#', '112.442135', '38.015963']
['8631057806#', '112.456131', '38.014093']
['8630257560#', '112.456061', '38.014056']
['8630156503#', '112.460204', '38.012959']
['8630060193#', '112.4416', '38.014083']
['8630073259#', '112.445246', '38.013677']
['8630591771#', '112.444948', '38.013512']
['8630591599#', '112.451444', '38.01482']
['8630505925#', '112.45266', '38.01273']
['8630439641#', '112.452714', '38.012742']
['8630574116#', '112.487485', '38.015261']
['8630349095#', '112.487504', '38.014708']
['8630481326#', '112.485656', '38.01395']
['8630492277#', '112.493717', '38.014498']
['8630223631#', '112.532048', '38.014894']
['8630294784#', '112.441856', '38.012505']
['8630850000#', '112.440764', '38.011436']
['8630749771#', '112.442927', '38.011083']
['8630061677#', '112.453925', '38.013374']
['8630494952#', '112.453339', '38.013031']
['8630488723#', '112.479907', '38.014023']
['8630118122#', '112.479398', '38.013167']
['8630592470#', '112.494687', '38.014396']
['8630006917#', '112.476527', '38.009986']
['8630350849#', '112.442911', '38.010184']
['8630444900#', '112.448206', '38.012485']
['8630502256#', '112.448998', '38.01156']
['8630366130#', '112.47468', '38.007404']
['8630010420#', '112.494126', '38.01263']
['8630027084#', '112.449368', '38.010865']
['8630432373#', '112.47877', '38.010571']
['8630776323#', '112.453754', '38.012222']
['8631052334#', '112.45693', '38.011936']
['8630723180#', '112.452799', '38.012077']
['8630027015#', '112.483959', '38.010093']
['8630063241#', '112.490293', '38.011971']
['8630713368#', '112.4597', '38.010097']
['8610168196#', '112.551956', '38.008792']
['8630498814#', '112.442851', '38.009945']
['8630830644#', '112.490231', '38.010112']
['8630723043#', '112.452907', '38.01105']
['8630003740#', '112.438634', '38.008108']
['0106805492#', '112.441937', '38.009014']
['8630709404#', '112.439661', '38.007509']
['8630830153#', '112.439511', '38.007429']
['8630431613#', '112.443121', '38.009456']
['8610146719#', '112.448183', '38.009316']
['8610141450#', '112.457156', '38.010662']
['8630499731#', '112.451362', '38.010062']
['8630116947#', '112.451973', '38.010392']
['8631058070#', '112.51474', '38.008597']
['0100113999#', '112.519951', '38.007062']
['8630794187#', '112.534282', '38.005706']
['8630794951#', '112.443297', '38.008898']
['8630718878#', '112.443179', '38.008756']
['8630436632#', '112.439213', '38.007202']
['0106602993#', '112.453499', '38.010936']
['8610142564#', '112.454339', '38.010341']
['0106531469#', '112.444995', '38.009117']
['8630167812#', '112.456544', '38.0096']
['8630050788#', '112.46699', '38.007367']
['8630777354#', '112.46399', '38.007386']
['8630025529#', '112.484186', '38.009671']
['8631052128#', '112.492184', '38.007958']
['8630009282#', '112.570584', '38.009192']
['8630069739#', '112.581659', '38.009181']
['8630746138#', '112.450976', '38.009766']
['8630703661#', '112.444369', '38.008553']
['8630712450#', '112.452074', '38.009179']
['8630065793#', '112.448023', '38.008966']
['8630154371#', '112.437982', '38.006395']
['8630449932#', '112.463938', '38.007409']
['8630353551#', '112.482034', '38.007306']
['8631052845#', '112.485551', '38.008937']
['8630435498#', '112.510912', '38.007085']
['8630777412#', '112.443582', '38.008289']
['8630074763#', '112.443232', '38.00802']
['8630113766#', '112.465164', '38.006475']
['8630011113#', '112.46436', '38.005196']
['8630479633#', '112.446633', '38.007899']
['8630585917#', '112.444717', '38.008281']
['8630504845#', '112.452842', '38.008829']
['8630590367#', '112.464124', '38.006503']
['8630497285#', '112.47058', '38.005885']
['8630256795#', '112.461869', '38.006566']
['0226609441#', '112.462229', '38.00641']
['8630601549#', '112.445499', '38.007637']
['8630008388#', '112.453964', '38.008319']
['8631093914#', '112.453979', '38.008311']
['8630599025#', '112.453932', '38.008312']
['8610144304#', '112.453915', '38.008313']
['8630155290#', '112.446847', '38.007424']
['8630592562#', '112.450257', '38.007575']
['8630485802#', '112.518261', '38.003918']
['8630063350#', '112.453977', '38.008242']
['8631052889#', '112.453979', '38.008232']
['8630701395#', '112.453975', '38.008212']
['8631052956#', '112.497445', '38.005921']
['8630862419#', '112.453945', '38.008272']
['8630843830#', '112.453931', '38.008273']
['8630437152#', '112.453916', '38.00828']
['8630742751#', '112.453937', '38.008264']
['8630427798#', '112.453884', '38.008299']
['8630730069#', '112.453905', '38.008274']
['8630119850#', '112.453882', '38.008286']
['8630776871#', '112.449789', '38.00732']
['8630502137#', '112.570221', '38.003077']
['8630171552#', '112.476788', '38.005807']
['8630862563#', '112.443034', '38.007715']
['8630050866#', '112.44425', '38.008224']
['8630790018#', '112.440839', '38.006564']
['8630508160#', '112.440417', '38.006373']
['8630221118#', '112.443033', '38.007423']
['8630741248#', '112.443237', '38.007337']
['0100327352#', '112.44388', '38.00755']
['8630292639#', '112.453655', '38.008021']
['8630051285#', '112.450975', '38.006882']
['8630355792#', '112.4538', '38.008265']
['8630255806#', '112.44836', '38.006906']
['8630027179#', '112.447421', '38.006878']
['8630504102#', '112.447431', '38.006725']
['8630807636#', '112.468826', '38.005626']
['8630353520#', '112.462994', '38.005467']
['8630050714#', '112.454929', '38.006946']
['8630702702#', '112.470693', '38.005272']
['8630783675#', '112.481234', '38.005033']
['8630747501#', '112.453955', '38.008176']
['8630031210#', '112.453873', '38.00824']
['8630488960#', '112.485509', '38.006675']
['8630064612#', '112.487189', '38.006518']
['8630492327#', '112.50138', '38.005081']
['8630431547#', '112.458024', '38.004753']
['8630870517#', '112.486703', '38.006218']
['8630001855#', '112.476313', '38.005464']
['8630706664#', '112.476255', '38.005383']
['8631057398#', '112.475788', '38.005403']
['8630789443#', '112.47627', '38.0053']
['8630067387#', '112.482469', '38.005175']
['8630035740#', '112.52071', '38.003558']
['8630714146#', '112.501827', '38.003088']
['8631093198#', '112.557736', '38.001969']
['8630486493#', '112.445271', '38.007077']
['8630353130#', '112.446393', '38.007034']
['8630972084#', '112.467853', '38.005299']
['8630224384#', '112.502595', '38.00022']
['8630798949#', '112.446599', '38.005815']
['8630226838#', '112.453971', '38.006224']
['8630119749#', '112.453881', '38.006295']
['8630778642#', '112.453797', '38.00645']
['8630074342#', '112.456201', '38.004275']
['8630004161#', '112.45059', '38.005696']
['8630736978#', '112.476762', '38.004546']
['8630435664#', '112.473938', '38.004659']
['8630916296#', '112.490973', '38.005531']
['8630023136#', '112.46291', '38.005036']
['8631057250#', '112.49814', '38.000227']
['8630428695#', '112.498484', '37.999863']
['8610149656#', '112.479883', '38.004516']
['0106625053#', '112.44486', '38.006133']
['8630143003#', '112.444671', '38.005807']
['0226606705#', '112.445038', '38.005618']
['8630118388#', '112.605032', '38.001568']
['8630431742#', '112.606984', '38.000536']
['8630023219#', '112.562731', '38.001089']
['8630716654#', '112.480295', '38.004118']
['0106512207#', '112.47964', '38.003865']
['8630788522#', '112.441293', '38.006053']
['8630722745#', '112.453091', '38.005516']
['8630029943#', '112.453093', '38.005468']
['8630063805#', '112.489291', '38.005187']
['8630069931#', '112.505919', '38.001157']
['8630509136#', '112.482993', '38.005131']
['8630498288#', '112.483192', '38.004848']
['8630503689#', '112.489081', '38.004812']
['8630701446#', '112.446398', '38.005092']
['8630746132#', '112.442333', '38.004477']
['8630294883#', '112.445872', '38.006484']
['8610173217#', '112.446049', '38.006438']
['8610140634#', '112.441624', '38.004185']
['8630283654#', '112.447155', '38.00475']
['8630429491#', '112.453319', '38.004188']
['8630429464#', '112.45133', '38.005637']
['8630060216#', '112.451086', '38.005378']
['8630255141#', '112.450945', '38.005376']
['8630807527#', '112.450796', '38.005262']
['8630709089#', '112.4509', '38.005061']
['8630491867#', '112.450698', '38.004383']
['8630786428#', '112.456032', '38.004287']
['8630295813#', '112.456013', '38.004249']
['8630072498#', '112.465607', '38.00434']
['8630154954#', '112.469437', '38.004268']
['0106800924#', '112.483279', '38.004033']
['8630429423#', '112.483393', '38.003306']
['8631057003#', '112.472491', '38.004468']
['8630429195#', '112.495637', '38.000007']
['8631099202#', '112.495568', '37.999968']
['8630447471#', '112.495814', '37.999603']
['8630065448#', '112.495697', '37.999542']
['8630026324#', '112.490025', '38.00435']
['8630354830#', '112.517739', '38.001811']
['8630817164#', '112.498025', '37.999689']
['8630778036#', '112.468175', '38.003473']
['8630800669#', '112.459837', '38.003578']
['8631076953#', '112.515086', '38.001824']
['8630006818#', '112.439358', '38.002107']
['8631076242#', '112.446919', '38.004145']
['8630029653#', '112.452059', '38.003634']
['8610174087#', '112.452062', '38.003496']
['8630148331#', '112.449795', '38.004984']
['8630007794#', '112.455755', '38.003811']
['8630351956#', '112.45522', '38.003486']
['8630151440#', '112.470602', '38.003259']
['0106704445#', '112.483735', '38.003251']
['8630828471#', '112.471313', '38.003477']
['0106833403#', '112.489964', '38.00382']
['8630068599#', '112.489906', '38.003406']
['8630483832#', '112.472965', '38.004395']
['8631057674#', '112.498645', '37.999542']
['8630376148#', '112.526059', '38.001303']
['8630429149#', '112.442066', '38.002495']
['8630050309#', '112.518366', '38.001455']
['8630741785#', '112.453643', '38.003658']
['8630355572#', '112.470607', '38.003233']
['8630702230#', '112.470087', '38.002082']
['8630141678#', '112.481584', '38.000862']
['8630089699#', '112.522024', '38.00048']
['8630352541#', '112.440678', '38.000675']
['8630030252#', '112.491403', '38.001159']
['8630037966#', '112.550837', '37.998299']
['8630155287#', '112.540937', '38.000268']
['8630706199#', '112.457631', '38.001728']
['8630442943#', '112.441075', '37.999712']
['8630736688#', '112.512574', '37.999493']
['8630069426#', '112.512824', '37.999122']
['8630494228#', '112.504787', '37.999098']
