['8630351722#', '112.467936', '38.036499']
['8630011528#', '112.664951', '38.047276']
['8610164607#', '112.469021', '38.036284']
['8630702475#', '112.532863', '38.036549']
['8630007875#', '112.533424', '38.036553']
['8630064036#', '112.532631', '38.033687']
['8630500969#', '112.531089', '38.032681']
['8630504677#', '112.668523', '38.038865']
['0226608973#', '112.649788', '38.038679']
['8630749870#', '112.459152', '38.037488']
['8630701583#', '112.567992', '38.032888']
['8630749573#', '112.465101', '38.03279']
['8630794190#', '112.469753', '38.033641']
['8630506831#', '112.467008', '38.033877']
['8630255765#', '112.466411', '38.032631']
['8630483995#', '112.465962', '38.031898']
['8630354028#', '112.469046', '38.033225']
['8610168203#', '112.480286', '38.032338']
['8630431704#', '112.472529', '38.031175']
['8630496333#', '112.569098', '38.032454']
['8630704526#', '112.520112', '38.028458']
['8630027672#', '112.52042', '38.028426']
['8630225021#', '112.542501', '38.027508']
['8630590361#', '112.481312', '38.028097']
['8630063174#', '112.483102', '38.027331']
['8630777790#', '112.469031', '38.031044']
['8630704393#', '112.484356', '38.027927']
['8630487967#', '112.482712', '38.02616']
['8630434443#', '112.533729', '38.024962']
['8630068859#', '112.483766', '38.024716']
['8630003178#', '112.48249', '38.025661']
['8630746171#', '112.482535', '38.025589']
['8630703761#', '112.686308', '38.025349']
['8630197516#', '112.480875', '38.023699']
['8630068441#', '112.450077', '38.024329']
['8630862006#', '112.448908', '38.018612']
['8630741616#', '112.483614', '38.024319']
['8630493311#', '112.626791', '38.021163']
['8630484210#', '112.470295', '38.01948']
['8630249346#', '112.456086', '38.019286']
['8630430179#', '112.483901', '38.023187']
['8630491431#', '112.486401', '38.021394']
['0100326239#', '112.48166', '38.0231']
['8630747848#', '112.4545', '38.01791']
['8630591472#', '112.456254', '38.016976']
['0106659508#', '112.44792', '38.017773']
['8630774782#', '112.448229', '38.017754']
['8630595880#', '112.445234', '38.017256']
['8630063777#', '112.444338', '38.017015']
['8630294758#', '112.448396', '38.015945']
['8630704094#', '112.45006', '38.015478']
['8630221114#', '112.445603', '38.015866']
['8630807859#', '112.488572', '38.021099']
['8630490063#', '112.485003', '38.020794']
['8630747021#', '112.505619', '38.020037']
['8630031785#', '112.508004', '38.018439']
['8630223762#', '112.486821', '38.019312']
['8630438598#', '112.607912', '38.019018']
['8630709778#', '112.464157', '38.015636']
['8630504250#', '112.493834', '38.017217']
