['8630011528#', '112.664365', '38.046973']
['8630351722#', '112.467901', '38.036851']
['8630504677#', '112.668523', '38.038865']
['8630007875#', '112.533391', '38.03668']
['8630702475#', '112.532861', '38.036546']
['8630064036#', '112.532628', '38.033688']
['8630500969#', '112.531178', '38.032591']
['0226608973#', '112.649682', '38.038696']
['8630749870#', '112.459152', '38.037488']
['8610164607#', '112.469038', '38.036208']
['8630701583#', '112.567918', '38.032824']
['8630972065#', '112.666601', '38.048383']
['8630749573#', '112.465098', '38.032786']
['8630794190#', '112.469746', '38.033639']
['8630506831#', '112.467011', '38.03387']
['8630496333#', '112.569099', '38.032456']
['8610168203#', '112.480279', '38.032352']
['8630255765#', '112.466418', '38.032628']
['8630354028#', '112.46904', '38.033214']
['8630225021#', '112.542504', '38.027506']
['8630431704#', '112.472168', '38.030848']
['8630027672#', '112.520395', '38.028478']
['8630704526#', '112.520123', '38.028447']
['8630590361#', '112.481308', '38.028098']
['8630063174#', '112.483145', '38.027366']
['8630483995#', '112.465962', '38.031899']
['8630777790#', '112.469004', '38.031264']
['8630704393#', '112.484262', '38.027949']
['8630487967#', '112.482714', '38.02616']
['8630746171#', '112.482475', '38.025698']
['8630434443#', '112.533724', '38.024961']
['8630703761#', '112.686306', '38.025351']
['8630003178#', '112.482489', '38.025664']
['8630197516#', '112.480867', '38.023692']
['8630068441#', '112.450116', '38.024334']
['8630862006#', '112.448911', '38.018611']
['8630068859#', '112.483815', '38.024598']
['8630741616#', '112.48362', '38.024321']
['8630493311#', '112.626743', '38.021129']
['8630249346#', '112.456087', '38.019285']
['0100326239#', '112.48166', '38.0231']
['8630430179#', '112.4839', '38.023188']
['8630807859#', '112.48862', '38.021152']
['8630490063#', '112.486388', '38.02109']
['8630774782#', '112.448243', '38.017826']
['0106659508#', '112.447922', '38.017781']
['8630595880#', '112.445209', '38.017407']
['8630221114#', '112.445607', '38.015869']
['8630294758#', '112.44832', '38.01546']
['8630063777#', '112.444336', '38.017']
['8630591472#', '112.456253', '38.016975']
['8630257560#', '112.453926', '38.015566']
['8630491431#', '112.484837', '38.021043']
['8630747848#', '112.450809', '38.015947']
['8630438598#', '112.607919', '38.019018']
['8630747021#', '112.505572', '38.019995']
['8630031785#', '112.508004', '38.018439']
['8630709778#', '112.464147', '38.015631']
['8630149729#', '112.494041', '38.017105']
['8630223762#', '112.486849', '38.019328']
['8630223239#', '112.493842', '38.017082']
['8630504250#', '112.493982', '38.017043']
['8630117227#', '112.456758', '38.015104']
['8631076928#', '112.457027', '38.014644']
['8630592613#', '112.456673', '38.014523']
['8630156503#', '112.46019', '38.012883']
['8630704094#', '112.450169', '38.015405']
['8630073259#', '112.445246', '38.013677']
['8630789977#', '112.442099', '38.015964']
['8630503050#', '112.631393', '38.015193']
['8630505925#', '112.452659', '38.012728']
['8630439641#', '112.452716', '38.012742']
['8630591771#', '112.444948', '38.013512']
['8630060193#', '112.4416', '38.014083']
['8630507966#', '112.444945', '38.01342']
['8630008911#', '112.444904', '38.013011']
['8631057806#', '112.456131', '38.014093']
['8630061677#', '112.453742', '38.013404']
['8630574116#', '112.487523', '38.015242']
['8630349095#', '112.487504', '38.014708']
['8630494952#', '112.453356', '38.013003']
['8630492277#', '112.493717', '38.014498']
['8630481326#', '112.485656', '38.01395']
['8630223631#', '112.532041', '38.014899']
['8630444900#', '112.448203', '38.012649']
['8630502256#', '112.448998', '38.01156']
['8630006917#', '112.476527', '38.009985']
['8630592470#', '112.494682', '38.01439']
['8630294784#', '112.441806', '38.0124']
['8630118122#', '112.479398', '38.013167']
['8630488723#', '112.479724', '38.013314']
['8630723180#', '112.452898', '38.01212']
['8630591599#', '112.444083', '38.011743']
['8630430316#', '112.442976', '38.01141']
['8630776323#', '112.453754', '38.012222']
['8630850000#', '112.440374', '38.011493']
['8630063241#', '112.490296', '38.011957']
['8630010420#', '112.49422', '38.012724']
['8630713368#', '112.4597', '38.010097']
['8630749771#', '112.442917', '38.011037']
['8630366130#', '112.474677', '38.007397']
['8630432373#', '112.478768', '38.010567']
['8631052334#', '112.456926', '38.011987']
['8630027015#', '112.483959', '38.010093']
['8610168196#', '112.551956', '38.008792']
['8630723043#', '112.452907', '38.01105']
['8630350849#', '112.44287', '38.010383']
['8630027084#', '112.449368', '38.010865']
['8630830644#', '112.490231', '38.010112']
['8610141450#', '112.457156', '38.010662']
['8630498814#', '112.442841', '38.009941']
['8630431613#', '112.443123', '38.009454']
['8630351956#', '112.443238', '38.009485']
['0106805492#', '112.441937', '38.009014']
['8630499731#', '112.451223', '38.009984']
['8630116947#', '112.451975', '38.010392']
['8631058070#', '112.51474', '38.008602']
['0100113999#', '112.519287', '38.007224']
['8630003740#', '112.438639', '38.00811']
['8630709404#', '112.439661', '38.007509']
['8630830153#', '112.439418', '38.007376']
['8630436632#', '112.439213', '38.007202']
['8630794187#', '112.534282', '38.005706']
['0106602993#', '112.453499', '38.010936']
['8630025529#', '112.484192', '38.009671']
['8630449932#', '112.463934', '38.007411']
['8610142564#', '112.454339', '38.010341']
['8630167812#', '112.456544', '38.0096']
['8610146719#', '112.448178', '38.009309']
['8630746138#', '112.451036', '38.009808']
['8630065793#', '112.448023', '38.008966']
['8630794951#', '112.443136', '38.008771']
['8630718878#', '112.443184', '38.008752']
['8631052128#', '112.492184', '38.007958']
['8630050788#', '112.46699', '38.007367']
['8630777354#', '112.463979', '38.007384']
['8630353551#', '112.482072', '38.007344']
['8630009282#', '112.570583', '38.009191']
['8630069739#', '112.58168', '38.009035']
['0106531469#', '112.444995', '38.009117']
['8630777412#', '112.443582', '38.008289']
['8631052845#', '112.485553', '38.008929']
['8630113766#', '112.465164', '38.006475']
['8630703661#', '112.44437', '38.008556']
['8630585917#', '112.444717', '38.008283']
['8630712450#', '112.452122', '38.008947']
['8630862419#', '112.453887', '38.008421']
['8631093914#', '112.453879', '38.008337']
['8610144304#', '112.453917', '38.008316']
['8630599025#', '112.453932', '38.008312']
['8630008388#', '112.453905', '38.008307']
['8630427798#', '112.453884', '38.008299']
['8630504845#', '112.452841', '38.008821']
['8630256795#', '112.461886', '38.006571']
['0226609441#', '112.462229', '38.00641']
['8630074763#', '112.443414', '38.008217']
['8630497285#', '112.470639', '38.005874']
['8630435498#', '112.510912', '38.007085']
['8630485802#', '112.518261', '38.003918']
['8630502137#', '112.570225', '38.00308']
['8630479633#', '112.446628', '38.007897']
['8630221118#', '112.443414', '38.007914']
['8630154371#', '112.438095', '38.006146']
['8630050866#', '112.444254', '38.008222']
['8630601549#', '112.445403', '38.007635']
['8630592562#', '112.450257', '38.007575']
['8630807636#', '112.468929', '38.005605']
['8630972084#', '112.467856', '38.005301']
['8630862563#', '112.443034', '38.007715']
['8631052889#', '112.453978', '38.008231']
['8630701395#', '112.453975', '38.008212']
['8630063350#', '112.453973', '38.008203']
['8630742751#', '112.453941', '38.008266']
['8630843830#', '112.453931', '38.008273']
['8630747501#', '112.453955', '38.008176']
['8630155290#', '112.446845', '38.007423']
['8630027179#', '112.447421', '38.006878']
['8631052956#', '112.497445', '38.005921']
['8630171552#', '112.476638', '38.00573']
['8630730069#', '112.453906', '38.008274']
['8630437152#', '112.453905', '38.008271']
['8630590367#', '112.464019', '38.006404']
['8630292639#', '112.453655', '38.008021']
['8630355792#', '112.4538', '38.008265']
['8630776871#', '112.449608', '38.007288']
['8631057398#', '112.475788', '38.005403']
['8630353130#', '112.446487', '38.006831']
['8610173217#', '112.446218', '38.006528']
['8630486493#', '112.445279', '38.007078']
['8630741248#', '112.443239', '38.007335']
['0100327352#', '112.443948', '38.007537']
['8630051285#', '112.451004', '38.00686']
['8630050714#', '112.45488', '38.006801']
['8630353520#', '112.46305', '38.00539']
['8630001855#', '112.476313', '38.005464']
['8630706664#', '112.476255', '38.005383']
['8630789443#', '112.47627', '38.0053']
['8630064612#', '112.487189', '38.006518']
['8630783675#', '112.481145', '38.004947']
['8630067387#', '112.482469', '38.005175']
['8610149656#', '112.479895', '38.004507']
['8630492327#', '112.501362', '38.005137']
['8630714146#', '112.50193', '38.002994']
['8630255806#', '112.44836', '38.006906']
['8630035740#', '112.52083', '38.003496']
['8630118388#', '112.605029', '38.001564']
['8630431742#', '112.606985', '38.000536']
['8630790018#', '112.440844', '38.006568']
['8630508160#', '112.440417', '38.006373']
['8630599965#', '112.482968', '38.005167']
['8630509136#', '112.482991', '38.005138']
['8630504102#', '112.447431', '38.006724']
['8630031210#', '112.453854', '38.008257']
['8630119850#', '112.453882', '38.008286']
['8630788522#', '112.441291', '38.006058']
['8630429464#', '112.45133', '38.005637']
['8630119749#', '112.453882', '38.006295']
['8630798949#', '112.446802', '38.005784']
['8630778642#', '112.453797', '38.00645']
['8630226838#', '112.453739', '38.006209']
['8630702702#', '112.470693', '38.005272']
['8630431547#', '112.457996', '38.004744']
