112.59299355, 37.7702144,520
112.43304067, 37.61791671,13
112.54815187, 37.78004445,222
112.4753478, 37.64208396,32
112.55776975, 37.82325613,1256
112.46719416, 38.04863539,13
112.59801612, 37.5386152,7
112.50356299, 37.67423225,38
112.4866991, 38.00088612,38
112.65373528, 37.76558772,60
112.45811737, 37.71208255,90
112.50537918, 37.83271237,544
112.57191326, 37.63089226,13
112.5236743, 37.83019197,619
112.52488964, 37.89718478,719
112.46650703, 37.97495684,16
112.62109804, 37.7921358,268
112.53564308, 37.63710803,32
112.5726507, 37.90802321,131
112.57891145, 37.82857922,1243
112.67051864, 38.05202537,27
112.58342337, 37.96658192,72
112.56386608, 38.02035704,9
112.52283811, 37.7485318,117
112.60352798, 37.86246613,221
112.42674638, 37.6709663,18
112.55093736, 37.68465502,26
112.35412654, 37.60909026,44
112.62362605, 38.01813096,6
112.6182853, 37.94813801,8
112.51348179, 37.98559942,56
112.5689833, 37.73296636,510
112.48450342, 37.74825985,169
112.58597792, 37.89779157,248
112.61928541, 37.71612318,61
112.4615933, 37.51282887,6
112.55336915, 37.879402,690
112.50062049, 37.9189934,138
112.47260102, 37.58695739,11
112.44537106, 37.85758167,84
112.60110258, 37.67188248,60
112.47779777, 37.87304855,207
112.45214731, 38.00736529,66
112.53649425, 37.96164929,112
